time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-05 13:05:00,Ok,1693899300,44451.6,44472.65,44443.25,44461.75,0.00,0,0,0,0
2023-09-05 13:10:00,Ok,1693899600,44461.8,44497.9,44458.25,44495.9,0.00,0,0,0,0
2023-09-05 13:15:00,Ok,1693899900,44496.85,44497.85,44454.1,44456.65,0.00,0,0,0,0
2023-09-05 13:20:00,Ok,1693900200,44453.65,44464.4,44406.1,44418.55,0.00,0,0,0,0
2023-09-05 13:25:00,Ok,1693900500,44419.0,44442.5,44415.45,44439.45,0.00,0,0,0,0
2023-09-05 13:30:00,Ok,1693900800,44444.95,44486.8,44433.15,44433.35,0.00,0,0,0,0
2023-09-05 13:35:00,Ok,1693901100,44434.95,44482.6,44434.85,44473.65,0.00,0,0,0,0
2023-09-05 13:40:00,Ok,1693901400,44474.2,44491.65,44455.75,44457.4,0.00,0,0,0,0
2023-09-05 13:45:00,Ok,1693901700,44457.45,44496.15,44456.1,44495.05,0.00,0,0,0,0
2023-09-05 13:50:00,Ok,1693902000,44494.75,44495.95,44443.05,44449.6,0.00,0,0,0,0
2023-09-05 13:55:00,Ok,1693902300,44444.7,44491.25,44434.8,44482.65,0.00,0,0,0,0
2023-09-05 14:00:00,Ok,1693902600,44486.2,44517.7,44476.85,44482.75,0.00,0,0,0,0
2023-09-05 14:05:00,Ok,1693902900,44482.0,44515.45,44479.2,44495.6,0.00,0,0,0,0
2023-09-05 14:10:00,Ok,1693903200,44493.7,44500.05,44476.3,44482.0,0.00,0,0,0,0
2023-09-05 14:15:00,Ok,1693903500,44479.55,44491.0,44462.85,44484.55,0.00,0,0,0,0
2023-09-05 14:20:00,Ok,1693903800,44482.3,44539.75,44471.0,44536.9,0.00,0,0,0,0
2023-09-05 14:25:00,Ok,1693904100,44537.85,44545.2,44502.6,44502.65,0.00,0,0,0,0
2023-09-05 14:30:00,Ok,1693904400,44508.3,44527.2,44478.65,44484.1,0.00,0,0,0,0
2023-09-05 14:35:00,Ok,1693904700,44482.65,44534.0,44478.9,44527.3,0.00,0,0,0,0
2023-09-05 14:40:00,Ok,1693905000,44524.75,44544.4,44509.05,44534.55,0.00,0,0,0,0
2023-09-05 14:45:00,Ok,1693905300,44535.85,44548.0,44518.65,44542.65,0.00,0,0,0,0
2023-09-05 14:50:00,Ok,1693905600,44539.7,44546.85,44507.0,44514.85,0.00,0,0,0,0
2023-09-05 14:55:00,Ok,1693905900,44513.25,44547.25,44510.75,44528.25,0.00,0,0,0,0
2023-09-05 15:00:00,Ok,1693906200,44525.9,44542.95,44508.55,44510.15,0.00,0,0,0,0
2023-09-05 15:05:00,Ok,1693906500,44510.05,44530.6,44502.65,44524.35,0.00,0,0,0,0
2023-09-05 15:10:00,Ok,1693906800,44519.95,44538.35,44506.45,44538.35,0.00,0,0,0,0
2023-09-05 15:15:00,Ok,1693907100,44538.1,44570.75,44521.35,44529.3,0.00,0,0,0,0
2023-09-05 15:20:00,Ok,1693907400,44531.15,44557.1,44519.1,44547.8,0.00,0,0,0,0
2023-09-05 15:25:00,Ok,1693907700,44553.4,44559.35,44494.65,44494.65,0.00,0,0,0,0
2023-09-06 09:15:00,Ok,1693971900,44536.45,44560.25,44459.2,44531.75,0.00,0,0,0,0
2023-09-06 09:20:00,Ok,1693972200,44525.75,44532.7,44466.0,44493.65,0.00,0,0,0,0
2023-09-06 09:25:00,Ok,1693972500,44486.4,44497.15,44455.3,44482.4,0.00,0,0,0,0
2023-09-06 09:30:00,Ok,1693972800,44482.45,44495.35,44445.95,44491.45,0.00,0,0,0,0
2023-09-06 09:35:00,Ok,1693973100,44493.2,44539.6,44486.3,44523.15,0.00,0,0,0,0
2023-09-06 09:40:00,Ok,1693973400,44519.6,44541.4,44505.05,44517.45,0.00,0,0,0,0
2023-09-06 09:45:00,Ok,1693973700,44516.05,44529.6,44494.65,44510.75,0.00,0,0,0,0
2023-09-06 09:50:00,Ok,1693974000,44503.45,44518.35,44470.8,44496.25,0.00,0,0,0,0
2023-09-06 09:55:00,Ok,1693974300,44489.25,44494.65,44456.35,44470.35,0.00,0,0,0,0
2023-09-06 10:00:00,Ok,1693974600,44468.8,44481.95,44450.95,44470.5,0.00,0,0,0,0
2023-09-06 10:05:00,Ok,1693974900,44473.3,44488.0,44445.0,44469.7,0.00,0,0,0,0
2023-09-06 10:10:00,Ok,1693975200,44467.35,44481.6,44447.3,44469.35,0.00,0,0,0,0
2023-09-06 10:15:00,Ok,1693975500,44467.5,44484.9,44442.5,44484.9,0.00,0,0,0,0
2023-09-06 10:20:00,Ok,1693975800,44491.65,44499.65,44474.9,44485.35,0.00,0,0,0,0
2023-09-06 10:25:00,Ok,1693976100,44489.9,44495.2,44467.75,44483.65,0.00,0,0,0,0
2023-09-06 10:30:00,Ok,1693976400,44482.65,44523.0,44472.45,44511.95,0.00,0,0,0,0
2023-09-06 10:35:00,Ok,1693976700,44512.05,44544.4,44505.1,44532.25,0.00,0,0,0,0
2023-09-06 10:40:00,Ok,1693977000,44537.3,44557.8,44510.6,44515.7,0.00,0,0,0,0
2023-09-06 10:45:00,Ok,1693977300,44517.9,44549.85,44508.25,44525.05,0.00,0,0,0,0
2023-09-06 10:50:00,Ok,1693977600,44525.45,44534.75,44481.1,44499.05,0.00,0,0,0,0
2023-09-06 10:55:00,Ok,1693977900,44505.55,44507.15,44476.55,44481.95,0.00,0,0,0,0
2023-09-06 11:00:00,Ok,1693978200,44482.15,44510.25,44470.8,44489.55,0.00,0,0,0,0
