time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-04 15:15:00,Ok,1693820700,19530.05,19531.3,19521.55,19528.25,0.00,0,0,0,0
2023-09-04 15:20:00,Ok,1693821000,19528.05,19535.1,19521.55,19533.7,0.00,0,0,0,0
2023-09-04 15:25:00,Ok,1693821300,19534.05,19564.65,19527.6,19564.65,0.00,0,0,0,0
2023-09-05 09:15:00,Ok,1693885500,19559.95,19561.85,19535.7,19535.7,0.00,0,0,0,0
2023-09-05 09:20:00,Ok,1693885800,19535.05,19553.8,19533.1,19539.65,0.00,0,0,0,0
2023-09-05 09:25:00,Ok,1693886100,19540.0,19552.8,19536.0,19550.2,0.00,0,0,0,0
2023-09-05 09:30:00,Ok,1693886400,19550.3,19556.7,19545.1,19551.7,0.00,0,0,0,0
2023-09-05 09:35:00,Ok,1693886700,19550.9,19560.85,19545.95,19557.7,0.00,0,0,0,0
2023-09-05 09:40:00,Ok,1693887000,19557.9,19569.35,19557.2,19568.4,0.00,0,0,0,0
2023-09-05 09:45:00,Ok,1693887300,19568.8,19578.3,19566.8,19577.2,0.00,0,0,0,0
2023-09-05 09:50:00,Ok,1693887600,19577.25,19580.95,19571.05,19577.7,0.00,0,0,0,0
2023-09-05 09:55:00,Ok,1693887900,19576.45,19579.4,19571.45,19575.1,0.00,0,0,0,0
2023-09-05 10:00:00,Ok,1693888200,19573.45,19583.15,19573.45,19579.25,0.00,0,0,0,0
2023-09-05 10:05:00,Ok,1693888500,19578.4,19582.1,19577.05,19578.75,0.00,0,0,0,0
2023-09-05 10:10:00,Ok,1693888800,19578.9,19581.3,19574.85,19580.75,0.00,0,0,0,0
2023-09-05 10:15:00,Ok,1693889100,19580.1,19583.7,19553.75,19555.1,0.00,0,0,0,0
2023-09-05 10:20:00,Ok,1693889400,19554.75,19569.95,19550.5,19569.95,0.00,0,0,0,0
2023-09-05 10:25:00,Ok,1693889700,19570.8,19574.3,19561.75,19561.9,0.00,0,0,0,0
2023-09-05 10:30:00,Ok,1693890000,19561.95,19564.35,19553.15,19563.1,0.00,0,0,0,0
2023-09-05 10:35:00,Ok,1693890300,19563.15,19573.65,19562.15,19573.35,0.00,0,0,0,0
2023-09-05 10:40:00,Ok,1693890600,19574.35,19576.3,19569.9,19574.4,0.00,0,0,0,0
2023-09-05 10:45:00,Ok,1693890900,19574.35,19577.6,19569.85,19573.95,0.00,0,0,0,0
2023-09-05 10:50:00,Ok,1693891200,19574.4,19575.8,19569.25,19573.85,0.00,0,0,0,0
2023-09-05 10:55:00,Ok,1693891500,19574.05,19574.4,19561.3,19564.2,0.00,0,0,0,0
2023-09-05 11:00:00,Ok,1693891800,19564.7,19576.8,19560.7,19573.55,0.00,0,0,0,0
2023-09-05 11:05:00,Ok,1693892100,19573.65,19577.55,19563.35,19569.85,0.00,0,0,0,0
2023-09-05 11:10:00,Ok,1693892400,19571.45,19582.4,19569.95,19577.9,0.00,0,0,0,0
2023-09-05 11:15:00,Ok,1693892700,19578.6,19582.9,19575.7,19581.45,0.00,0,0,0,0
2023-09-05 11:20:00,Ok,1693893000,19582.1,19585.95,19571.95,19573.3,0.00,0,0,0,0
2023-09-05 11:25:00,Ok,1693893300,19573.5,19582.0,19572.55,19576.45,0.00,0,0,0,0
2023-09-05 11:30:00,Ok,1693893600,19577.15,19578.95,19571.8,19573.65,0.00,0,0,0,0
2023-09-05 11:35:00,Ok,1693893900,19573.75,19577.6,19571.85,19573.7,0.00,0,0,0,0
2023-09-05 11:40:00,Ok,1693894200,19575.45,19578.3,19572.55,19575.2,0.00,0,0,0,0
2023-09-05 11:45:00,Ok,1693894500,19576.25,19579.65,19574.1,19576.45,0.00,0,0,0,0
2023-09-05 11:50:00,Ok,1693894800,19576.2,19585.2,19575.5,19582.3,0.00,0,0,0,0
2023-09-05 11:55:00,Ok,1693895100,19583.8,19586.9,19580.65,19581.3,0.00,0,0,0,0
2023-09-05 12:00:00,Ok,1693895400,19581.75,19583.1,19567.75,19568.1,0.00,0,0,0,0
2023-09-05 12:05:00,Ok,1693895700,19568.65,19580.35,19565.6,19573.85,0.00,0,0,0,0
2023-09-05 12:10:00,Ok,1693896000,19572.1,19573.95,19560.5,19568.6,0.00,0,0,0,0
2023-09-05 12:15:00,Ok,1693896300,19567.7,19571.45,19562.1,19563.5,0.00,0,0,0,0
2023-09-05 12:20:00,Ok,1693896600,19564.0,19571.7,19561.45,19568.9,0.00,0,0,0,0
2023-09-05 12:25:00,Ok,1693896900,19569.4,19576.2,19563.0,19563.1,0.00,0,0,0,0
